Time(ms) photo_num Photo_Time speed steer_pos servo_pos sonar_dist lon lat gps_time magx magy magz gyroz delta_enc_counts
9351 47 0 -39 570 102 0 -1 -1 -1 34.7 -33.6 -84.4 -0.02 -2
9389 48 0 -39 570 99 0 -1 -1 -1 34.7 -33.8 -84.7 0.0 -1
9427 48 0 -39 570 96 0 -1 -1 -1 34.7 -33.8 -84.7 0.0 -1
9466 48 0 -39 570 93 3222 -1 -1 -1 34.9 -34.4 -84.0 -0.04 -1
9503 48 0 -39 570 90 0 -1 -1 -1 34.9 -34.4 -84.4 -0.02 -1
9541 48 0 -39 570 87 0 -1 -1 -1 34.8 -34.4 -84.4 -0.01 -1
9580 49 0 -39 570 84 2640 -1 -1 -1 34.8 -34.2 -83.9 -0.01 -1
9618 49 0 -39 570 81 2443 -1 -1 -1 34.8 -34.2 -83.9 0.0 -2
9657 49 0 -39 570 78 2781 -1 -1 -1 35.1 -34.1 -84.1 0.0 -1
9694 49 0 -39 570 75 0 -1 -1 -1 35.1 -34.1 -84.1 -0.02 -1
9733 49 0 -39 570 72 0 -1 -1 -1 35.3 -34.7 -83.3 -0.04 -2
9770 49 0 -39 570 69 0 -1 -1 -1 35.3 -34.7 -83.3 -0.05 -1
9809 50 0 -39 570 66 1243 -1 -1 -1 35.7 -34.7 -83.4 0.0 -1
9847 50 0 -39 570 63 1011 -1 -1 -1 35.7 -35.0 -83.2 -0.02 -2
9885 50 0 -39 570 60 878 -1 -1 -1 35.7 -35.0 -83.2 -0.02 -1
9923 50 0 -39 570 57 902 -1 -1 -1 35.9 -35.1 -83.0 0.0 -1
9962 51 0 -39 570 54 958 -1 -1 -1 35.9 -35.1 -83.0 -0.01 -2
10000 51 0 -39 570 51 942 -1 -1 -1 36.1 -35.0 -82.4 -0.02 -1
10038 51 0 -39 570 48 933 -1 -1 -1 36.1 -35.0 -82.4 -0.02 -1
10076 51 0 -39 570 45 757 -1 -1 -1 36.6 -35.0 -82.7 -0.02 -2
10115 51 0 -39 570 42 687 -1 -1 -1 36.6 -35.0 -82.6 -0.04 -2
10153 52 0 -39 570 45 184 -1 -1 -1 36.8 -35.0 -82.6 -0.02 -1
10190 52 0 -39 570 48 175 -1 -1 -1 36.6 -35.0 -82.5 0.0 -1
10229 52 0 -39 570 51 186 -1 -1 -1 36.6 -35.0 -82.5 -0.01 -2
10267 52 0 -39 570 54 701 -1 -1 -1 36.6 -35.0 -82.8 -0.04 -2
10306 52 0 -39 570 57 788 -1 -1 -1 36.6 -35.0 -82.8 -0.03 -1
10343 52 0 -39 570 60 845 -1 -1 -1 36.6 -34.5 -82.3 -0.05 -1
10382 53 0 -39 570 63 987 -1 -1 -1 36.6 -34.5 -82.3 -0.01 -2
10420 53 0 -39 570 66 958 -1 -1 -1 37.0 -34.6 -82.2 -0.03 -2
10459 53 0 -39 570 69 942 -1 -1 -1 37.0 -35.0 -81.9 -0.03 -1
10496 53 0 -39 570 72 925 -1 -1 -1 37.0 -35.0 -81.9 -0.02 -2
10534 53 0 -39 570 75 1070 -1 -1 -1 36.9 -34.4 -81.9 -0.03 -1
10573 53 0 -39 570 78 1329 -1 -1 -1 36.9 -34.4 -81.9 -0.01 -2
10611 54 0 -39 570 81 0 -1 -1 -1 36.9 -34.7 -81.4 -0.04 -1
10649 54 0 -39 570 84 0 -1 -1 -1 36.9 -34.7 -81.4 -0.02 -2
10687 54 0 -39 570 87 0 -1 -1 -1 36.8 -34.7 -81.1 -0.02 -1
10726 54 0 -39 570 90 2627 -1 -1 -1 36.8 -34.7 -81.1 -0.03 -2
10763 54 0 -39 570 93 2554 -1 -1 -1 37.0 -34.1 -81.3 -0.01 -2
10802 55 0 -39 570 96 0 -1 -1 -1 36.5 -33.7 -80.4 0.01 -1
10841 55 0 -39 570 99 0 -1 -1 -1 36.5 -33.7 -80.4 -0.01 -2
10877 55 0 -39 570 102 0 -1 -1 -1 36.7 -34.0 -81.0 -0.02 -1
10916 55 0 -15 570 105 0 -1 -1 -1 36.7 -34.0 -81.0 -0.08 -2
10954 55 0 -12 570 108 0 -1 -1 -1 37.0 -34.7 -79.8 -0.02 -2
10994 56 0 0 570 111 0 -1 -1 -1 37.0 -34.7 -79.8 -0.01 -1
11031 56 0 0 570 114 0 -1 -1 -1 36.9 -34.5 -79.6 0.0 -2
11068 56 0 0 570 117 2845 -1 -1 -1 36.9 -33.8 -80.1 -0.03 -1
11107 56 0 0 570 120 0 -1 -1 -1 36.3 -33.8 -80.1 -0.02 -2
